Variable,Description,Form_Name,Theme,Theme_count,Theme_group
PeriodCode,"The date in YYYYMM format which represents the end of the financial year. For example, 201903 represents March 2019, which was the end of the 2018-2019 fiscal year. The Capital Outturn Return contains expenditure which took place over the course of a whole financial year.",all,,7,Other / Unmapped
LA_LGF_Code,"A Local Government Finance code, which MHCLG uses internally to represent local authorities. These are unique to each local authority, similar to the ONS local authority code.",all,,7,Other / Unmapped
ONS_Code,The ONS local authority code.,all,,7,Other / Unmapped
LA_Name,The name of the local authority,all,,7,Other / Unmapped
LA_Class,The classification of the local authority. A local authority's classification is related to the functions it carries out and how they are financed.,all,,7,Other / Unmapped
LA_Subclass,The detailed classification of the local authority. A local authority's classification is related to the functions it carries out and how they are financed.,all,,7,Other / Unmapped
Status,"The submission status. Takes one of three values: submitted, not submitted, or total. Totals are calculated, further information available on the Totals tab.",all,,7,Other / Unmapped
EandR1-eduerlprm-explndbld,Early Years & Primary Schools - Acquisition of land & existing buildings,EandR1,eduerlprm,27,Education
EandR1-eduerlprm-expcnscnvrnv,"Early Years & Primary Schools - New construction, conversion & renovation",EandR1,eduerlprm,27,Education
EandR1-eduerlprm-expvhc,Early Years & Primary Schools - Vehicles,EandR1,eduerlprm,27,Education
EandR1-eduerlprm-expeqpmch,"Early Years & Primary Schools - Plant, furniture & equipment",EandR1,eduerlprm,27,Education
EandR1-eduerlprm-expvhceqpmch,"Early Years & Primary Schools - Vehicles, plant, furniture & equipment",EandR1,eduerlprm,27,Education
EandR1-eduerlprm-expint,Early Years & Primary Schools - Intangible fixed assets,EandR1,eduerlprm,27,Education
EandR1-eduerlprm-exptotfa,Early Years & Primary Schools - Total expenditure on fixed assets,EandR1,eduerlprm,27,Education
EandR1-eduscn-explndbld,Secondary Schools - Acquisition of land & existing buildings,EandR1,eduscn,27,Education
EandR1-eduscn-expcnscnvrnv,"Secondary Schools - New construction, conversion & renovation",EandR1,eduscn,27,Education
EandR1-eduscn-expvhc,Secondary Schools - Vehicles,EandR1,eduscn,27,Education
EandR1-eduscn-expeqpmch,"Secondary Schools - Plant, furniture & equipment",EandR1,eduscn,27,Education
EandR1-eduscn-expvhceqpmch,"Secondary Schools - Vehicles, plant, furniture & equipment",EandR1,eduscn,27,Education
EandR1-eduscn-expint,Secondary Schools - Intangible fixed assets,EandR1,eduscn,27,Education
EandR1-eduscn-exptotfa,Secondary Schools - Total expenditure on fixed assets,EandR1,eduscn,27,Education
EandR1-eduspc-explndbld,Special Schools & Alternative Provision - Acquisition of land & existing buildings,EandR1,eduspc,27,Education
EandR1-eduspc-expcnscnvrnv,"Special Schools & Alternative Provision - New construction, conversion & renovation",EandR1,eduspc,27,Education
EandR1-eduspc-expvhc,Special Schools & Alternative Provision - Vehicles,EandR1,eduspc,27,Education
EandR1-eduspc-expeqpmch,"Special Schools & Alternative Provision - Plant, furniture & equipment",EandR1,eduspc,27,Education
EandR1-eduspc-expvhceqpmch,"Special Schools & Alternative Provision - Vehicles, plant, furniture & equipment",EandR1,eduspc,27,Education
EandR1-eduspc-expint,Special Schools & Alternative Provision - Intangible fixed assets,EandR1,eduspc,27,Education
EandR1-eduspc-exptotfa,Special Schools & Alternative Provision - Total expenditure on fixed assets,EandR1,eduspc,27,Education
EandR1-edupstoth-explndbld,Post-16 Provision & Other Education - Acquisition of land & existing buildings,EandR1,edupstoth,27,Education
EandR1-edupstoth-expcnscnvrnv,"Post-16 Provision & Other Education - New construction, conversion & renovation",EandR1,edupstoth,27,Education
EandR1-edupstoth-expvhc,Post-16 Provision & Other Education - Vehicles,EandR1,edupstoth,27,Education
EandR1-edupstoth-expeqpmch,"Post-16 Provision & Other Education - Plant, furniture & equipment",EandR1,edupstoth,27,Education
EandR1-edupstoth-expvhceqpmch,"Post-16 Provision & Other Education - Vehicles, plant, furniture & equipment",EandR1,edupstoth,27,Education
EandR1-edupstoth-expint,Post-16 Provision & Other Education - Intangible fixed assets,EandR1,edupstoth,27,Education
EandR1-edupstoth-exptotfa,Post-16 Provision & Other Education - Total expenditure on fixed assets,EandR1,edupstoth,27,Education
EandR1-edutot-explndbld,Total Education - Acquisition of land & existing buildings,EandR1,edutot,41,Education
EandR1-edutot-expcnscnvrnv,"Total Education - New construction, conversion & renovation",EandR1,edutot,41,Education
EandR1-edutot-expvhc,Total Education - Vehicles,EandR1,edutot,41,Education
EandR1-edutot-expeqpmch,"Total Education - Plant, furniture & equipment",EandR1,edutot,41,Education
EandR1-edutot-expvhceqpmch,"Total Education - Vehicles, plant, furniture & equipment",EandR1,edutot,41,Education
EandR1-edutot-expint,Total Education - Intangible fixed assets,EandR1,edutot,41,Education
EandR1-edutot-exptotfa,Total Education - Total expenditure on fixed assets,EandR1,edutot,41,Education
EandR1-transrds-explndbld,"Roads, Street Lighting & Road Safety - Acquisition of land & existing buildings",EandR1,transrds,34,Transport
EandR1-transrds-expcnscnvrnv,"Roads, Street Lighting & Road Safety - New construction, conversion & renovation",EandR1,transrds,34,Transport
EandR1-transrds-expvhc,"Roads, Street Lighting & Road Safety - Vehicles",EandR1,transrds,34,Transport
EandR1-transrds-expeqpmch,"Roads, Street Lighting & Road Safety - Plant, furniture & equipment",EandR1,transrds,34,Transport
EandR1-transrds-expvhceqpmch,"Roads, Street Lighting & Road Safety - Vehicles, plant, furniture & equipment",EandR1,transrds,34,Transport
EandR1-transrds-expint,"Roads, Street Lighting & Road Safety - Intangible fixed assets",EandR1,transrds,34,Transport
EandR1-transrds-exptotfa,"Roads, Street Lighting & Road Safety - Total expenditure on fixed assets",EandR1,transrds,34,Transport
EandR1-transprk-explndbld,Parking - Acquisition of land & existing buildings,EandR1,transprk,27,Transport
EandR1-transprk-expcnscnvrnv,"Parking - New construction, conversion & renovation",EandR1,transprk,27,Transport
EandR1-transprk-expvhc,Parking - Vehicles,EandR1,transprk,27,Transport
EandR1-transprk-expeqpmch,"Parking - Plant, furniture & equipment",EandR1,transprk,27,Transport
EandR1-transprk-expvhceqpmch,"Parking - Vehicles, plant, furniture & equipment",EandR1,transprk,27,Transport
EandR1-transprk-expint,Parking - Intangible fixed assets,EandR1,transprk,27,Transport
EandR1-transprk-exptotfa,Parking - Total expenditure on fixed assets,EandR1,transprk,27,Transport
EandR1-transpblbus-explndbld,Public Transport (Bus) - Acquisition of land & existing buildings,EandR1,transpblbus,27,Transport
EandR1-transpblbus-expcnscnvrnv,"Public Transport (Bus) - New construction, conversion & renovation",EandR1,transpblbus,27,Transport
EandR1-transpblbus-expvhc,Public Transport (Bus) - Vehicles,EandR1,transpblbus,27,Transport
EandR1-transpblbus-expeqpmch,"Public Transport (Bus) - Plant, furniture & equipment",EandR1,transpblbus,27,Transport
EandR1-transpblbus-expvhceqpmch,"Public Transport (Bus) - Vehicles, plant, furniture & equipment",EandR1,transpblbus,27,Transport
EandR1-transpblbus-expint,Public Transport (Bus) - Intangible fixed assets,EandR1,transpblbus,27,Transport
EandR1-transpblbus-exptotfa,Public Transport (Bus) - Total expenditure on fixed assets,EandR1,transpblbus,27,Transport
EandR1-transpblrail-explndbld,Public Transport (Rail & Other) - Acquisition of land & existing buildings,EandR1,transpblrail,27,Transport
EandR1-transpblrail-expcnscnvrnv,"Public Transport (Rail & Other) - New construction, conversion & renovation",EandR1,transpblrail,27,Transport
EandR1-transpblrail-expvhc,Public Transport (Rail & Other) - Vehicles,EandR1,transpblrail,27,Transport
EandR1-transpblrail-expeqpmch,"Public Transport (Rail & Other) - Plant, furniture & equipment",EandR1,transpblrail,27,Transport
EandR1-transpblrail-expvhceqpmch,"Public Transport (Rail & Other) - Vehicles, plant, furniture & equipment",EandR1,transpblrail,27,Transport
EandR1-transpblrail-expint,Public Transport (Rail & Other) - Intangible fixed assets,EandR1,transpblrail,27,Transport
EandR1-transpblrail-exptotfa,Public Transport (Rail & Other) - Total expenditure on fixed assets,EandR1,transpblrail,27,Transport
EandR1-transahtarp-explndbld,Airports - Acquisition of land & existing buildings,EandR1,transahtarp,27,Transport
EandR1-transahtarp-expcnscnvrnv,"Airports - New construction, conversion & renovation",EandR1,transahtarp,27,Transport
EandR1-transahtarp-expvhc,Airports - Vehicles,EandR1,transahtarp,27,Transport
EandR1-transahtarp-expeqpmch,"Airports - Plant, furniture & equipment",EandR1,transahtarp,27,Transport
EandR1-transahtarp-expvhceqpmch,"Airports - Vehicles, plant, furniture & equipment",EandR1,transahtarp,27,Transport
EandR1-transahtarp-expint,Airports - Intangible fixed assets,EandR1,transahtarp,27,Transport
EandR1-transahtarp-exptotfa,Airports - Total expenditure on fixed assets,EandR1,transahtarp,27,Transport
EandR1-transahthrbprs-explndbld,Ports & Piers  - Acquisition of land & existing buildings,EandR1,transahthrbprs,27,Transport
EandR1-transahthrbprs-expcnscnvrnv,"Ports & Piers  - New construction, conversion & renovation",EandR1,transahthrbprs,27,Transport
EandR1-transahthrbprs-expvhc,Ports & Piers  - Vehicles,EandR1,transahthrbprs,27,Transport
EandR1-transahthrbprs-expeqpmch,"Ports & Piers  - Plant, furniture & equipment",EandR1,transahthrbprs,27,Transport
EandR1-transahthrbprs-expvhceqpmch,"Ports & Piers  - Vehicles, plant, furniture & equipment",EandR1,transahthrbprs,27,Transport
EandR1-transahthrbprs-expint,Ports & Piers  - Intangible fixed assets,EandR1,transahthrbprs,27,Transport
EandR1-transahthrbprs-exptotfa,Ports & Piers  - Total expenditure on fixed assets,EandR1,transahthrbprs,27,Transport
EandR1-transahttll-explndbld,"Tolled Roads, Bridges, Tunnels,Ferries & Public Transport Companies - Acquisition of land & existing buildings",EandR1,transahttll,27,Transport
EandR1-transahttll-expcnscnvrnv,"Tolled Roads, Bridges, Tunnels,Ferries & Public Transport Companies - New construction, conversion & renovation",EandR1,transahttll,27,Transport
EandR1-transahttll-expvhc,"Tolled Roads, Bridges, Tunnels,Ferries & Public Transport Companies - Vehicles",EandR1,transahttll,27,Transport
EandR1-transahttll-expeqpmch,"Tolled Roads, Bridges, Tunnels,Ferries & Public Transport Companies - Plant, furniture & equipment",EandR1,transahttll,27,Transport
EandR1-transahttll-expvhceqpmch,"Tolled Roads, Bridges, Tunnels,Ferries & Public Transport Companies - Vehicles, plant, furniture & equipment",EandR1,transahttll,27,Transport
EandR1-transahttll-expint,"Tolled Roads, Bridges, Tunnels,Ferries & Public Transport Companies - Intangible fixed assets",EandR1,transahttll,27,Transport
EandR1-transahttll-exptotfa,"Tolled Roads, Bridges, Tunnels,Ferries & Public Transport Companies - Total expenditure on fixed assets",EandR1,transahttll,27,Transport
EandR1-transtot-explndbld,Total Highways & Transport - Acquisition of land & existing buildings,EandR1,transtot,41,Transport
EandR1-transtot-expcnscnvrnv,"Total Highways & Transport - New construction, conversion & renovation",EandR1,transtot,41,Transport
EandR1-transtot-expvhc,Total Highways & Transport - Vehicles,EandR1,transtot,41,Transport
EandR1-transtot-expeqpmch,"Total Highways & Transport - Plant, furniture & equipment",EandR1,transtot,41,Transport
EandR1-transtot-expvhceqpmch,"Total Highways & Transport - Vehicles, plant, furniture & equipment",EandR1,transtot,41,Transport
EandR1-transtot-expint,Total Highways & Transport - Intangible fixed assets,EandR1,transtot,41,Transport
EandR1-transtot-exptotfa,Total Highways & Transport - Total expenditure on fixed assets,EandR1,transtot,41,Transport
EandR1-sctot-explndbld,Total Social Care - Acquisition of land & existing buildings,EandR1,sctot,45,Social Care
EandR1-sctot-expcnscnvrnv,"Total Social Care - New construction, conversion & renovation",EandR1,sctot,45,Social Care
EandR1-sctot-expvhc,Total Social Care - Vehicles,EandR1,sctot,45,Social Care
EandR1-sctot-expeqpmch,"Total Social Care - Plant, furniture & equipment",EandR1,sctot,45,Social Care
EandR1-sctot-expvhceqpmch,"Total Social Care - Vehicles, plant, furniture & equipment",EandR1,sctot,45,Social Care
EandR1-sctot-expint,Total Social Care - Intangible fixed assets,EandR1,sctot,45,Social Care
EandR1-sctot-exptotfa,Total Social Care - Total expenditure on fixed assets,EandR1,sctot,45,Social Care
EandR1-phtot-explndbld,Total Public Health  - Acquisition of land & existing buildings,EandR1,phtot,41,Public Health
EandR1-phtot-expcnscnvrnv,"Total Public Health  - New construction, conversion & renovation",EandR1,phtot,41,Public Health
EandR1-phtot-expvhc,Total Public Health  - Vehicles,EandR1,phtot,41,Public Health
EandR1-phtot-expeqpmch,"Total Public Health  - Plant, furniture & equipment",EandR1,phtot,41,Public Health
EandR1-phtot-expvhceqpmch,"Total Public Health  - Vehicles, plant, furniture & equipment",EandR1,phtot,41,Public Health
EandR1-phtot-expint,Total Public Health  - Intangible fixed assets,EandR1,phtot,41,Public Health
EandR1-phtot-exptotfa,Total Public Health  - Total expenditure on fixed assets,EandR1,phtot,41,Public Health
EandR1-houshratot-explndbld,Housing (HRA) - Acquisition of land & existing buildings,EandR1,houshratot,27,Housing
EandR1-houshratot-expcnscnvrnv,"Housing (HRA) - New construction, conversion & renovation",EandR1,houshratot,27,Housing
EandR1-houshratot-expvhc,Housing (HRA) - Vehicles,EandR1,houshratot,27,Housing
EandR1-houshratot-expeqpmch,"Housing (HRA) - Plant, furniture & equipment",EandR1,houshratot,27,Housing
EandR1-houshratot-expvhceqpmch,"Housing (HRA) - Vehicles, plant, furniture & equipment",EandR1,houshratot,27,Housing
EandR1-houshratot-expint,Housing (HRA) - Intangible fixed assets,EandR1,houshratot,27,Housing
EandR1-houshratot-exptotfa,Housing (HRA) - Total expenditure on fixed assets,EandR1,houshratot,27,Housing
EandR1-housgfcftot-explndbld,Housing (non-HRA) - Acquisition of land & existing buildings,EandR1,housgfcftot,27,Housing
EandR1-housgfcftot-expcnscnvrnv,"Housing (non-HRA) - New construction, conversion & renovation",EandR1,housgfcftot,27,Housing
EandR1-housgfcftot-expvhc,Housing (non-HRA) - Vehicles,EandR1,housgfcftot,27,Housing
EandR1-housgfcftot-expeqpmch,"Housing (non-HRA) - Plant, furniture & equipment",EandR1,housgfcftot,27,Housing
EandR1-housgfcftot-expvhceqpmch,"Housing (non-HRA) - Vehicles, plant, furniture & equipment",EandR1,housgfcftot,27,Housing
EandR1-housgfcftot-expint,Housing (non-HRA) - Intangible fixed assets,EandR1,housgfcftot,27,Housing
EandR1-housgfcftot-exptotfa,Housing (non-HRA) - Total expenditure on fixed assets,EandR1,housgfcftot,27,Housing
EandR1-houstot-explndbld,Total Housing - Acquisition of land & existing buildings,EandR1,houstot,43,Housing
EandR1-houstot-expcnscnvrnv,"Total Housing - New construction, conversion & renovation",EandR1,houstot,43,Housing
EandR1-houstot-expvhc,Total Housing - Vehicles,EandR1,houstot,43,Housing
EandR1-houstot-expeqpmch,"Total Housing - Plant, furniture & equipment",EandR1,houstot,43,Housing
EandR1-houstot-expvhceqpmch,"Total Housing - Vehicles, plant, furniture & equipment",EandR1,houstot,43,Housing
EandR1-houstot-expint,Total Housing - Intangible fixed assets,EandR1,houstot,43,Housing
EandR1-houstot-exptotfa,Total Housing - Total expenditure on fixed assets,EandR1,houstot,43,Housing
EandR1-culhrt-explndbld,Culture & Heritage - Acquisition of land & existing buildings,EandR1,culhrt,27,Culture & Leisure (incl. Sport & Open Spaces)
EandR1-culhrt-expcnscnvrnv,"Culture & Heritage - New construction, conversion & renovation",EandR1,culhrt,27,Culture & Leisure (incl. Sport & Open Spaces)
EandR1-culhrt-expvhc,Culture & Heritage - Vehicles,EandR1,culhrt,27,Culture & Leisure (incl. Sport & Open Spaces)
EandR1-culhrt-expeqpmch,"Culture & Heritage - Plant, furniture & equipment",EandR1,culhrt,27,Culture & Leisure (incl. Sport & Open Spaces)
EandR1-culhrt-expvhceqpmch,"Culture & Heritage - Vehicles, plant, furniture & equipment",EandR1,culhrt,27,Culture & Leisure (incl. Sport & Open Spaces)
EandR1-culhrt-expint,Culture & Heritage - Intangible fixed assets,EandR1,culhrt,27,Culture & Leisure (incl. Sport & Open Spaces)
EandR1-culhrt-exptotfa,Culture & Heritage - Total expenditure on fixed assets,EandR1,culhrt,27,Culture & Leisure (incl. Sport & Open Spaces)
EandR1-culspr-explndbld,Recreation & Sport - Acquisition of land & existing buildings,EandR1,culspr,27,Culture & Leisure (incl. Sport & Open Spaces)
EandR1-culspr-expcnscnvrnv,"Recreation & Sport - New construction, conversion & renovation",EandR1,culspr,27,Culture & Leisure (incl. Sport & Open Spaces)
EandR1-culspr-expvhc,Recreation & Sport - Vehicles,EandR1,culspr,27,Culture & Leisure (incl. Sport & Open Spaces)
EandR1-culspr-expeqpmch,"Recreation & Sport - Plant, furniture & equipment",EandR1,culspr,27,Culture & Leisure (incl. Sport & Open Spaces)
EandR1-culspr-expvhceqpmch,"Recreation & Sport - Vehicles, plant, furniture & equipment",EandR1,culspr,27,Culture & Leisure (incl. Sport & Open Spaces)
EandR1-culspr-expint,Recreation & Sport - Intangible fixed assets,EandR1,culspr,27,Culture & Leisure (incl. Sport & Open Spaces)
EandR1-culspr-exptotfa,Recreation & Sport - Total expenditure on fixed assets,EandR1,culspr,27,Culture & Leisure (incl. Sport & Open Spaces)
EandR1-culopn-explndbld,Open Spaces - Acquisition of land & existing buildings,EandR1,culopn,27,Culture & Leisure (incl. Sport & Open Spaces)
EandR1-culopn-expcnscnvrnv,"Open Spaces - New construction, conversion & renovation",EandR1,culopn,27,Culture & Leisure (incl. Sport & Open Spaces)
EandR1-culopn-expvhc,Open Spaces - Vehicles,EandR1,culopn,27,Culture & Leisure (incl. Sport & Open Spaces)
EandR1-culopn-expeqpmch,"Open Spaces - Plant, furniture & equipment",EandR1,culopn,27,Culture & Leisure (incl. Sport & Open Spaces)
EandR1-culopn-expvhceqpmch,"Open Spaces - Vehicles, plant, furniture & equipment",EandR1,culopn,27,Culture & Leisure (incl. Sport & Open Spaces)
EandR1-culopn-expint,Open Spaces - Intangible fixed assets,EandR1,culopn,27,Culture & Leisure (incl. Sport & Open Spaces)
EandR1-culopn-exptotfa,Open Spaces - Total expenditure on fixed assets,EandR1,culopn,27,Culture & Leisure (incl. Sport & Open Spaces)
EandR1-cultrs-explndbld,Tourism - Acquisition of land & existing buildings,EandR1,cultrs,27,Culture & Leisure (incl. Sport & Open Spaces)
EandR1-cultrs-expcnscnvrnv,"Tourism - New construction, conversion & renovation",EandR1,cultrs,27,Culture & Leisure (incl. Sport & Open Spaces)
EandR1-cultrs-expvhc,Tourism - Vehicles,EandR1,cultrs,27,Culture & Leisure (incl. Sport & Open Spaces)
EandR1-cultrs-expeqpmch,"Tourism - Plant, furniture & equipment",EandR1,cultrs,27,Culture & Leisure (incl. Sport & Open Spaces)
EandR1-cultrs-expvhceqpmch,"Tourism - Vehicles, plant, furniture & equipment",EandR1,cultrs,27,Culture & Leisure (incl. Sport & Open Spaces)
EandR1-cultrs-expint,Tourism - Intangible fixed assets,EandR1,cultrs,27,Culture & Leisure (incl. Sport & Open Spaces)
EandR1-cultrs-exptotfa,Tourism - Total expenditure on fixed assets,EandR1,cultrs,27,Culture & Leisure (incl. Sport & Open Spaces)
EandR1-cullib-explndbld,Library Services - Acquisition of land & existing buildings,EandR1,cullib,27,Culture & Leisure (incl. Sport & Open Spaces)
EandR1-cullib-expcnscnvrnv,"Library Services - New construction, conversion & renovation",EandR1,cullib,27,Culture & Leisure (incl. Sport & Open Spaces)
EandR1-cullib-expvhc,Library Services - Vehicles,EandR1,cullib,27,Culture & Leisure (incl. Sport & Open Spaces)
EandR1-cullib-expeqpmch,"Library Services - Plant, furniture & equipment",EandR1,cullib,27,Culture & Leisure (incl. Sport & Open Spaces)
EandR1-cullib-expvhceqpmch,"Library Services - Vehicles, plant, furniture & equipment",EandR1,cullib,27,Culture & Leisure (incl. Sport & Open Spaces)
EandR1-cullib-expint,Library Services - Intangible fixed assets,EandR1,cullib,27,Culture & Leisure (incl. Sport & Open Spaces)
EandR1-cullib-exptotfa,Library Services - Total expenditure on fixed assets,EandR1,cullib,27,Culture & Leisure (incl. Sport & Open Spaces)
EandR1-cultot-explndbld,Total Culture & Related Services - Acquisition of land & existing buildings,EandR1,cultot,41,Culture & Leisure (incl. Sport & Open Spaces)
EandR1-cultot-expcnscnvrnv,"Total Culture & Related Services - New construction, conversion & renovation",EandR1,cultot,41,Culture & Leisure (incl. Sport & Open Spaces)
EandR1-cultot-expvhc,Total Culture & Related Services - Vehicles,EandR1,cultot,41,Culture & Leisure (incl. Sport & Open Spaces)
EandR1-cultot-expeqpmch,"Total Culture & Related Services - Plant, furniture & equipment",EandR1,cultot,41,Culture & Leisure (incl. Sport & Open Spaces)
EandR1-cultot-expvhceqpmch,"Total Culture & Related Services - Vehicles, plant, furniture & equipment",EandR1,cultot,41,Culture & Leisure (incl. Sport & Open Spaces)
EandR1-cultot-expint,Total Culture & Related Services - Intangible fixed assets,EandR1,cultot,41,Culture & Leisure (incl. Sport & Open Spaces)
EandR1-cultot-exptotfa,Total Culture & Related Services - Total expenditure on fixed assets,EandR1,cultot,41,Culture & Leisure (incl. Sport & Open Spaces)
EandR1-envcmt-explndbld,"Cemeteries, Cremation & Mortuary - Acquisition of land & existing buildings",EandR1,envcmt,27,Environment
EandR1-envcmt-expcnscnvrnv,"Cemeteries, Cremation & Mortuary - New construction, conversion & renovation",EandR1,envcmt,27,Environment
EandR1-envcmt-expvhc,"Cemeteries, Cremation & Mortuary - Vehicles",EandR1,envcmt,27,Environment
EandR1-envcmt-expeqpmch,"Cemeteries, Cremation & Mortuary - Plant, furniture & equipment",EandR1,envcmt,27,Environment
EandR1-envcmt-expvhceqpmch,"Cemeteries, Cremation & Mortuary - Vehicles, plant, furniture & equipment",EandR1,envcmt,27,Environment
EandR1-envcmt-expint,"Cemeteries, Cremation & Mortuary - Intangible fixed assets",EandR1,envcmt,27,Environment
EandR1-envcmt-exptotfa,"Cemeteries, Cremation & Mortuary - Total expenditure on fixed assets",EandR1,envcmt,27,Environment
EandR1-envcst-explndbld,Coast Protection - Acquisition of land & existing buildings,EandR1,envcst,27,Environment
EandR1-envcst-expcnscnvrnv,"Coast Protection - New construction, conversion & renovation",EandR1,envcst,27,Environment
EandR1-envcst-expvhc,Coast Protection - Vehicles,EandR1,envcst,27,Environment
EandR1-envcst-expeqpmch,"Coast Protection - Plant, furniture & equipment",EandR1,envcst,27,Environment
EandR1-envcst-expvhceqpmch,"Coast Protection - Vehicles, plant, furniture & equipment",EandR1,envcst,27,Environment
EandR1-envcst-expint,Coast Protection - Intangible fixed assets,EandR1,envcst,27,Environment
EandR1-envcst-exptotfa,Coast Protection - Total expenditure on fixed assets,EandR1,envcst,27,Environment
EandR1-envcmm-explndbld,Community Safety - Acquisition of land & existing buildings,EandR1,envcmm,27,Environment
EandR1-envcmm-expcnscnvrnv,"Community Safety - New construction, conversion & renovation",EandR1,envcmm,27,Environment
EandR1-envcmm-expvhc,Community Safety - Vehicles,EandR1,envcmm,27,Environment
EandR1-envcmm-expeqpmch,"Community Safety - Plant, furniture & equipment",EandR1,envcmm,27,Environment
EandR1-envcmm-expvhceqpmch,"Community Safety - Vehicles, plant, furniture & equipment",EandR1,envcmm,27,Environment
EandR1-envcmm-expint,Community Safety - Intangible fixed assets,EandR1,envcmm,27,Environment
EandR1-envcmm-exptotfa,Community Safety - Total expenditure on fixed assets,EandR1,envcmm,27,Environment
EandR1-envflddrn-explndbld,Flood Defence & Land Drainage - Acquisition of land & existing buildings,EandR1,envflddrn,27,Environment
EandR1-envflddrn-expcnscnvrnv,"Flood Defence & Land Drainage - New construction, conversion & renovation",EandR1,envflddrn,27,Environment
EandR1-envflddrn-expvhc,Flood Defence & Land Drainage - Vehicles,EandR1,envflddrn,27,Environment
EandR1-envflddrn-expeqpmch,"Flood Defence & Land Drainage - Plant, furniture & equipment",EandR1,envflddrn,27,Environment
EandR1-envflddrn-expvhceqpmch,"Flood Defence & Land Drainage - Vehicles, plant, furniture & equipment",EandR1,envflddrn,27,Environment
EandR1-envflddrn-expint,Flood Defence & Land Drainage - Intangible fixed assets,EandR1,envflddrn,27,Environment
EandR1-envflddrn-exptotfa,Flood Defence & Land Drainage - Total expenditure on fixed assets,EandR1,envflddrn,27,Environment
EandR1-envagr-explndbld,Agricultural & Fisheries Services - Acquisition of land & existing buildings,EandR1,envagr,27,Environment
EandR1-envagr-expcnscnvrnv,"Agricultural & Fisheries Services - New construction, conversion & renovation",EandR1,envagr,27,Environment
EandR1-envagr-expvhc,Agricultural & Fisheries Services - Vehicles,EandR1,envagr,27,Environment
EandR1-envagr-expeqpmch,"Agricultural & Fisheries Services - Plant, furniture & equipment",EandR1,envagr,27,Environment
EandR1-envagr-expvhceqpmch,"Agricultural & Fisheries Services - Vehicles, plant, furniture & equipment",EandR1,envagr,27,Environment
EandR1-envagr-expint,Agricultural & Fisheries Services - Intangible fixed assets,EandR1,envagr,27,Environment
EandR1-envagr-exptotfa,Agricultural & Fisheries Services - Total expenditure on fixed assets,EandR1,envagr,27,Environment
EandR1-envrglenv-explndbld,Regulatory Services (Environmental Health) - Acquisition of land & existing buildings,EandR1,envrglenv,27,Environment
EandR1-envrglenv-expcnscnvrnv,"Regulatory Services (Environmental Health) - New construction, conversion & renovation",EandR1,envrglenv,27,Environment
EandR1-envrglenv-expvhc,Regulatory Services (Environmental Health) - Vehicles,EandR1,envrglenv,27,Environment
EandR1-envrglenv-expeqpmch,"Regulatory Services (Environmental Health) - Plant, furniture & equipment",EandR1,envrglenv,27,Environment
EandR1-envrglenv-expvhceqpmch,"Regulatory Services (Environmental Health) - Vehicles, plant, furniture & equipment",EandR1,envrglenv,27,Environment
EandR1-envrglenv-expint,Regulatory Services (Environmental Health) - Intangible fixed assets,EandR1,envrglenv,27,Environment
EandR1-envrglenv-exptotfa,Regulatory Services (Environmental Health) - Total expenditure on fixed assets,EandR1,envrglenv,27,Environment
EandR1-envrgltrd-explndbld,Regulatory Services (Trading Standards) - Acquisition of land & existing buildings,EandR1,envrgltrd,27,Environment
EandR1-envrgltrd-expcnscnvrnv,"Regulatory Services (Trading Standards) - New construction, conversion & renovation",EandR1,envrgltrd,27,Environment
EandR1-envrgltrd-expvhc,Regulatory Services (Trading Standards) - Vehicles,EandR1,envrgltrd,27,Environment
EandR1-envrgltrd-expeqpmch,"Regulatory Services (Trading Standards) - Plant, furniture & equipment",EandR1,envrgltrd,27,Environment
EandR1-envrgltrd-expvhceqpmch,"Regulatory Services (Trading Standards) - Vehicles, plant, furniture & equipment",EandR1,envrgltrd,27,Environment
EandR1-envrgltrd-expint,Regulatory Services (Trading Standards) - Intangible fixed assets,EandR1,envrgltrd,27,Environment
EandR1-envrgltrd-exptotfa,Regulatory Services (Trading Standards) - Total expenditure on fixed assets,EandR1,envrgltrd,27,Environment
EandR1-envstr-explndbld,Street Cleaning (not chargeable to highways) - Acquisition of land & existing buildings,EandR1,envstr,27,Environment
EandR1-envstr-expcnscnvrnv,"Street Cleaning (not chargeable to highways) - New construction, conversion & renovation",EandR1,envstr,27,Environment
EandR1-envstr-expvhc,Street Cleaning (not chargeable to highways) - Vehicles,EandR1,envstr,27,Environment
EandR1-envstr-expeqpmch,"Street Cleaning (not chargeable to highways) - Plant, furniture & equipment",EandR1,envstr,27,Environment
EandR1-envstr-expvhceqpmch,"Street Cleaning (not chargeable to highways) - Vehicles, plant, furniture & equipment",EandR1,envstr,27,Environment
EandR1-envstr-expint,Street Cleaning (not chargeable to highways) - Intangible fixed assets,EandR1,envstr,27,Environment
EandR1-envstr-exptotfa,Street Cleaning (not chargeable to highways) - Total expenditure on fixed assets,EandR1,envstr,27,Environment
EandR1-envcll-explndbld,Waste Collection - Acquisition of land & existing buildings,EandR1,envcll,27,Environment
EandR1-envcll-expcnscnvrnv,"Waste Collection - New construction, conversion & renovation",EandR1,envcll,27,Environment
EandR1-envcll-expvhc,Waste Collection - Vehicles,EandR1,envcll,27,Environment
EandR1-envcll-expeqpmch,"Waste Collection - Plant, furniture & equipment",EandR1,envcll,27,Environment
