Data item name,Description,Form name,Theme,Theme_count,Theme_group
RG_grantoutacomm_tot_grant,Adult and Community Learning from Skills Funding Agency,RG,grantoutacomm,1,Grants
RG_grantoutsixth_tot_grant,Sixth Form Funding from the Education Funding Agency (EFA),RG,grantoutsixth,1,Grants
RG_grantouthbrent_tot_grant,Mandatory Rent Allowances: subsidy ,RG,grantouthbrent,1,Grants
RG_grantouthbnreb_tot_grant,Mandatory Rent Rebates outside HRA: subsidy ,RG,grantouthbnreb,1,Grants
RG_grantouthbhreb_tot_grant,Rent Rebates Granted to HRA Tenants: subsidy,RG,grantouthbhreb,1,Grants
RG_grantoutoth_tot_grant,Other grants outside AEF  (enter in memorandum box B below),RG,grantoutoth,1,Grants
RG_grantouttot_tot_grant,TOTAL GRANTS OUTSIDE AEF (total of lines 715 to 798) (Transfers to RS line 791 as income),RG,grantouttot,1,Grants
RG_granttot_tot_grant,TOTAL SPECIFIC AND SPECIAL REVENUE GRANTS (total of lines 699 + 799),RG,granttot,1,Grants
RG_grantinsbgfrhlgf_tot_grant,"Small Business Grants Fund (SBGF) and Retail, Hospitality and Leisure Grants Fund (RHLGF)",RG,grantinsbgfrhlgf,1,Grants
RG_grantinaddsmlbus_tot_grant,Additional discretionary grant fund for small businesses,RG,grantinaddsmlbus,1,Grants
RG_grantmmdsb1_tot_grant,Local Restrictions Support Grant,RG,grantmmdsb1,1,Grants
RG_grantmmdsb2_tot_grant,BEIS Additional Restrictions Grant,RG,grantmmdsb2,1,Grants
RG_grantmmdsb3_tot_grant,Self Isolation Grant,RG,grantmmdsb3,1,Grants
RG_grantmmdsb4_tot_grant,Other grants relating to disbursement payments,RG,grantmmdsb4,1,Grants
RO1_eduerl_empl,Employees - Early Years,RO1,eduerl,7,Education
RO1_eduerl_run_exp,Running expenses - Early Years,RO1,eduerl,7,Education
RO1_eduerl_tot_exp,Total expenditure - Early Years,RO1,eduerl,7,Education
RO1_eduerl_sfc,"Sales, Fees and Charges - Early Years",RO1,eduerl,7,Education
RO1_eduerl_oth_inc,Other income - Early Years,RO1,eduerl,7,Education
RO1_eduerl_tot_inc,Total income - Early Years,RO1,eduerl,7,Education
RO1_eduerl_net_cur_exp,NET current expenditure - Early Years,RO1,eduerl,7,Education
RO1_eduprm_empl,Employees - Primary schools,RO1,eduprm,7,Education
RO1_eduprm_run_exp,Running expenses - Primary schools,RO1,eduprm,7,Education
RO1_eduprm_tot_exp,Total expenditure - Primary schools,RO1,eduprm,7,Education
RO1_eduprm_sfc,"Sales, Fees and Charges - Primary schools",RO1,eduprm,7,Education
RO1_eduprm_oth_inc,Other income - Primary schools,RO1,eduprm,7,Education
RO1_eduprm_tot_inc,Total income - Primary schools,RO1,eduprm,7,Education
RO1_eduprm_net_cur_exp,NET current expenditure - Primary schools,RO1,eduprm,7,Education
RO1_eduscn_empl,Employees - Secondary schools,RO1,eduscn,7,Education
RO1_eduscn_run_exp,Running expenses - Secondary schools,RO1,eduscn,7,Education
RO1_eduscn_tot_exp,Total expenditure - Secondary schools,RO1,eduscn,7,Education
RO1_eduscn_sfc,"Sales, Fees and Charges - Secondary schools",RO1,eduscn,7,Education
RO1_eduscn_oth_inc,Other income - Secondary schools,RO1,eduscn,7,Education
RO1_eduscn_tot_inc,Total income - Secondary schools,RO1,eduscn,7,Education
RO1_eduscn_net_cur_exp,NET current expenditure - Secondary schools,RO1,eduscn,7,Education
RO1_eduspc_empl,Employees - Special schools and alternative provision,RO1,eduspc,7,Education
RO1_eduspc_run_exp,Running expenses - Special schools and alternative provision,RO1,eduspc,7,Education
RO1_eduspc_tot_exp,Total expenditure - Special schools and alternative provision,RO1,eduspc,7,Education
RO1_eduspc_sfc,"Sales, Fees and Charges - Special schools and alternative provision",RO1,eduspc,7,Education
RO1_eduspc_oth_inc,Other income - Special schools and alternative provision,RO1,eduspc,7,Education
RO1_eduspc_tot_inc,Total income - Special schools and alternative provision,RO1,eduspc,7,Education
RO1_eduspc_net_cur_exp,NET current expenditure - Special schools and alternative provision,RO1,eduspc,7,Education
RO1_edupst_empl,Employees - Post-16 provision,RO1,edupst,7,Education
RO1_edupst_run_exp,Running expenses - Post-16 provision,RO1,edupst,7,Education
RO1_edupst_tot_exp,Total expenditure - Post-16 provision,RO1,edupst,7,Education
RO1_edupst_sfc,"Sales, Fees and Charges - Post-16 provision",RO1,edupst,7,Education
RO1_edupst_oth_inc,Other income - Post-16 provision,RO1,edupst,7,Education
RO1_edupst_tot_inc,Total income - Post-16 provision,RO1,edupst,7,Education
